Field Office,Sub-Office,Jail or Prison Type,Juvenile Facility,Jail or Prison Name,Jail or Prison City,County,State,Jurisdiction,2015 Detainer/Notification Acceptance Status,2015 ICE Comments,2017 ICE Comments,ILRC Analysis,No 287(g),No ICE Detention Contract,No ICE holds,No ICE alerts,Limits on ICE interrogations in jail,Prohibition on asking about immigration status,General prohibition on assistance to ICE,ILRC Total,ILRC Comments,Title of Policy,LINK,GEOID - FIPS
SPM,Cedar Rapids,County/City,NO,Winneshiek County - IA,Decorah,Winneshiek County,IA,Winneshiek County Jail,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,Confirmed with Jail Administrator B(6); B(7)C,Full compliance,,1,1,1,0,0,0,0,3,,,,19191
SPM,Cedar Rapids,County/City,NO,Cedar County - IA,Tipton,Cedar County,IA,Cedar County Sheriff's Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,Confirmed with Sheriff B(6); B(7)C,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,19031
SPM,Des Moines,County/City,NO,Cerro Gordo County - IA,Mason City,Cerro Gordo,IA,,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,Met by SDDO B(6); B(7)C,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,19033
SPM,Cedar Rapids,County/City,NO,Iowa County - IA,Marengo,Iowa,IA,Iowa County Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,Confirmed with Sheriff B(6); B(7)C,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,19095
SPM,Cedar Rapids,County/City,NO,Muscatine County - IA,Muscatine,Muscatine County,IA,Muscatine County Sheriffs Office,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,,Full compliance,,1,1,0,0,0,0,0,2,,,,19139
SPM,Des Moines,County/City,NO,Polk County - IA,Des Moines,Polk County,IA,Sheriff Bill McCarthy,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,LEITF member.  06/28/15; met at NSA.,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,0,1,0,0,0,0,2,,,,19153
SPM,Omaha,County/City,NO,Pottawattamie County - IA,Council Bluffs,Pottawattamie,IA,Pottawattamie County Sheriff's office,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,07/10/15; e-mail sent to Sheriff B(6); B(7)C to set up meeting.  Awaiting reply,Jail is IGSA.  Any aliens with detainers are transferred to ICE custody on I203.,,1,0,1,0,0,0,0,2,,,,19155
SPM,Cedar Rapids,County/City,NO,Poweshiek County - IA,Montezuma,Poweshiek County,IA,Poweshiek County Jail,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,Per Jail Administrator B(6); B(7)C,Full compliance,,1,1,1,0,0,0,0,3,,,,19157
SPM,Cedar Rapids,County/City,NO,Scott County - IA,Davenport,Scott County,IA,Scott County Sheriffs Office,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,19163
SLC,Boise,County/City,NO,Bonner County Jail - ID,Sandpoint,Bonner,ID,,,,,,1,1,0,0,0,0,0,2,,,,16017
SLC,Boise,County/City,NO,Boundary County Jail - ID,Bonners Ferry,Boundary,ID,,,,,,1,1,0,0,0,0,0,2,,,,16021
SLC,Boise,County/City,NO,Oneida County Jail - ID,Malad,Oneida,ID,,,,,,1,1,0,0,0,0,0,2,,,,16071
SLC,Boise,County/City,NO,Ada County Jail - ID,,Ada County,ID,Ada County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,Telephonic contact with Civil Attorney B(6); B(7)C. No issues with detainers.,,,1,1,0,0,0,0,0,2,,,,16001
SLC,Boise,County/City,NO,Adams County Jail - ID,,Adams County,ID,Adams County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,In-person meeting with Capt. B(6); B(7)C; 208-253-B(6); B(7)C.,,,1,1,0,0,0,0,0,2,,,,16003
SLC,Boise,County/City,NO,Bannock County Jail - ID,,Bannock County,ID,Bannock County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,In-person meeting with Sgt. B(6); B(7)C; 208-236-B(6); B(7)C.,,,1,1,0,0,0,0,0,2,,,,16005
SLC,Boise,County/City,NO,Benewah County Jail - ID,,Bingham County,ID,Bingham County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,In-person meeting with jail command staff; POC Chief Dep. B(6); B(7)C.,,,1,1,0,0,0,0,0,2,,,,16011
SLC,Boise,County/City,NO,Bingham County Jail - ID,,Blaine County,ID,Blaine County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,In-person meeting with jail command staff; POC Capt. B(6); B(7)C at 208-788-B(6); B(7)C.,,,1,1,0,0,0,0,0,2,,,,16013
SLC,Boise,County/City,NO,Bonneville County Jail - ID,Idaho Falls,Bonneville County,ID,Bonneville County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,In-person meeting with Capt. Sid B(6); B(7)C; 208-529-B(6); B(7)C.,,,1,1,0,0,0,0,0,2,,,,16019
SLC,Boise,County/City,NO,Canyon County Jail - ID,Caldwell,Butte County,ID,Butte County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,Telephonic contact made with Capt. B(6); B(7)C at 208-527-B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,16023
SLC,Boise,County/City,NO,Caribou County Jail - ID,Soda Springs,Canyon County,ID,Canyon County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,Met with Capt. B(6); B(7)C & Civil Attorney; they have no issues with detainers. IGSA facility.,,,1,0,0,0,0,0,0,1,IGSA,,,16027
SLC,Boise,County/City,NO,Clark County Jail - ID,Dubois,Clark County,ID,Clark County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,Telephonic contact was made with Sheriff B(6); B(7)C at 208-374-B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,16033
SLC,Boise,County/City,NO,Custer County Jail - ID,Challis,Custer County,ID,Custer County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,Telephonic contact was made with Lt. B(6); B(7)C at 208-879-B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,16037
SLC,Boise,County/City,NO,Elmore County Jail - ID,,Elmore County,ID,Elmore County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,In-person meeting with Lt. B(6); B(7)C; no issues with detainers. IGSA facility.,,,1,0,0,0,0,0,0,1,IGSA,,,16039
SLC,Boise,County/City,NO,Fremont County Jail - ID,,Freemont County,ID,Freemont County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,Telephonic contact was made with Sgt. B(6); B(7)C at 208-624-B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,16043
SLC,Boise,County/City,NO,Gem County Jail - ID,,Gem County,ID,Gem County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,In-person meeting with jail command staff; POC Lt. B(6); B(7)C.,,,1,1,0,0,0,0,0,2,,,,16045
SLC,Boise,County/City,NO,Gooding County Jail - ID,,Gooding County,ID,Gooding County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,In-person meeting with jail command staff; POC Lt. B(6); B(7)C at 208-934-B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,16047
SLC,Boise,County/City,NO,Idaho County Jail - ID,,Idaho County,ID,Idaho County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,Telephonic contact was made with Lt. B(6); B(7)C at 208-983-B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,16049
SLC,Boise,County/City,NO,Jefferson County Jail - ID,,Jefferson County,ID,Jefferson County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,In-person meeting with jail command staff; POC Capt. B(6); B(7)C at 208-745-B(6); B(7)C.,,,1,0,0,0,0,0,0,1,,,,16051
SLC,Boise,County/City,NO,Jerome County Jail - ID,,Jerome County,ID,Jerome County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,In-person meeting with jail command staff; POC Capt. B(6); B(7)C at 208-324-B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,16053
SLC,Yakima,County/City,NO,Kootenai County Jail - ID,Coeur d' Alene,Kootenai County,ID,Kootenai County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,In-person meeting with jail command staff; POC Sgt. B(6); B(7)C at 208-446-B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,16055
SLC,Boise,County/City,NO,Latah County Jail - ID,Moscow,Latah County,ID,Latah County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,In-person meeting with jail command staff; POC Lt. B(6); B(7)C at 208-882-B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,16057
SLC,Boise,County/City,NO,Lemhi County Jail - ID,Salmon,Lemhi County,ID,Lemhi County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,Telephonic contact was made with Sgt. B(6); B(7)C at 208-756-B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,16059
SLC,Boise,County/City,NO,Madison County Jail - ID,Rexburg,Madison County,ID,Madison County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,Telephonic contact was made with Sgt. B(6); B(7)C at 208-356-B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,16065
SLC,Boise,County/City,NO,Nez Perce County Jail - ID,Lewiston,Nez Perce County,ID,Nez Perce County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,In-person meeting with jail command staff; POC Capt. B(6); B(7)C at 208-799-B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,16069
SLC,Boise,County/City,NO,Owyhee County Jail - ID,Murphy,Owyhee County,ID,Owyhee County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,In-person meeting with Sgt. B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,16073
SLC,Boise,County/City,NO,Payette County Jail - ID,Payette,Payette County,ID,Payette County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,In-person meeting with Lt. B(6); B(7)C; 208-642-B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,16075
SLC,Boise,County/City,NO,Power County Jail - ID,American Falls,Power County,ID,Power County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,In-person meeting with jail command staff; POC Sheriff B(6); B(7)C.,,,1,1,0,0,0,0,0,2,,,,16077
SLC,Boise,County/City,NO,Shoshone County Jail -  ID,Wallace,Shoshone County,ID,Shoshone County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,Telephonic contact was made with Capt. B(6); B(7)C at 208-556-B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,16079
SLC,Boise,County/City,NO,Twin Falls County Jail - ID,Twin Falls,Twin Falls County,ID,Twin Falls County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,In-person meeting with Lt. B(6); B(7)C.,,,1,1,0,0,0,0,0,2,,,,16083
SLC,Boise,County/City,NO,Valley County Jail - ID,Cascade,Valley County,ID,Valley County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,In-person meeting with Sgt. B(6); B(7)C and Cpl. B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,16085
SLC,Boise,County/City,NO,Washington County Jail - ID,Weiser,Washington County,ID,Washington County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,In-person meeting with Sgt. B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,16087
CHI,RI,County/City,NO,Adams County Jail - IL,Quincy,Adams,IL,Adams County Sheriff's Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,None,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17001
CHI,CHI,County/City,NO,Alexander County Jail - IL,Cairo,Alexander,IL,Alexander County Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,"No Jail in this county, held at Pulaski",,1,0,1,0,0,0,0,2,IL Trust Act 2017; Pulaski values used,,,17003
CHI,CHI,County/City,NO,Boone County Jail - IL,Belvidere,Boone,IL,,,,,,1,1,1,0,0,0,0,3,IL Trust Act 2018,,,17007
CHI,RI,County/City,NO,Bureau County Jail - IL,Princeton,Bureau,IL,Bureau County Sheriff's Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,None,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17011
CHI,CHI,County/City,NO,Calhoun County Jail - IL,Hardin,Calhoun  County,IL,Calhoun County Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17013
CHI,RI,County/City,NO,Carroll County Jail - IL,Mt Carroll,Carroll,IL,Carroll County Sheriff's Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,None,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17015
CHI,CHI,County/City,NO,Champaign County Jail - IL,Urbana,Champaign,IL,Champaign County Sheriff,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,"On 11/17/15 AFOD for PEP was accompanied by the DFOD, FOD & OCC. Sheriff B(6); B(7)C stated that he was willing to accept I-247N.  

October 2015 - Sheriff B(6); B(7)C responded to AFOD's email follow up by saying that he would discuss PEP with his Jail Superintendent and that one of them would be in touch with me. 10/06/2015 - To date, have not heard back from Sheriff B(6); B(7)C, will follow-up. Meeting scheduled for 10/19/2015.",,,1,1,1,1,0,0,0,4,IL Trust Act 2017,Sheriff's Letter to ICE Regarding Detainer Policy,http://www.ilrc.org/files/documents/05_-_champaign_il_detainer_policy.pdf,17019
CHI,CHI,County/City,NO,Christian County Jail - IL,Taylorville,Christian,IL,Christian County Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17021
CHI,CHI,County/City,NO,Clark County Jail - IL,Marshall,Clark,IL,Clark County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17023
CHI,CHI,County/City,NO,Clay County Jail - IL,Louisville,Clay County,IL,Clay County Sheriff's Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,NONE,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17025
CHI,STL,County/City,NO,Clinton County Jail - IL,Carlyle,Clinton,IL,,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17027
CHI,CHI,County/City,NO,Coles County Jail - IL,Charleston,Coles,IL,Coles County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17029
CHI,CHI,County/City,NO,Cook County Jail - IL,Chicago,Cook,IL,Cook,1: Not Willing to accept (I-247N) Notifications and (I-247D) Detainers,LEITF member.  HQ will conduct the outreach per Field Ops. S1 will engage Cook County on July 10th for the second time as a followup to his initial meeting on June 19th. HQERO handling Cook County discussion.,Copy of Copy of AN 1373: not 1373 compliant; Need a criminal warrant signed by a Judge,,1,1,1,1,1,1,1,7,IL Trust Act 2017,Cook County Ordinance,http://www.ilrc.org/files/documents/07_-_cook_county_ordinance.pdf,17031
CHI,CHI,County/City,NO,Crawford County Jail - IL,Robinson,Crawford,IL,,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17033
CHI,CHI,County/City,NO,Cumberland County Jail - IL,Toledo,Cumberland,IL,Cumberland County Sherrif,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17035
CHI,CHI,County/City,NO,Dewitt County Jail - IL,Clinton,De Witt,IL,De Witt County Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17039
Chicago,CHI,County/City,NO,DeKalb County Jail - IL,Sycamore,DeKalb,IL,,,,,,1,1,1,0,0,0,0,3,IL Trust Act 2019,,,17037
CHI,CHI,County/City,NO,Douglas County Jail - IL,Tuscola,Douglas County,IL,Douglas County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17041
CHI,CHI,County/City,NO,DuPage County Jail - IL,Wheaton,DuPage,IL,DuPage County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,Good working relationship with ERO,Will provide as much advance notice as possible and generally will hold if ICE is in route to pick up-not always provided adequate notification,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17043
CHI,CHI,County/City,NO,Edgar County Jail - IL,Paris,Edgar,IL,Edgar County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17045
CHI,CHI,County/City,NO,Effingham County Jail - IL,Effingham,Effingham,IL,,,,,,1,1,1,0,0,0,0,3,IL Trust Act 2020,,,17049
CHI,CHI,County/City,NO,Fayette County Jail - IL,Vandalia,Fayette,IL,Fayette County Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17051
CHI,CHI,County/City,NO,Ford County Jail - IL,Paxton,Ford,IL,Ford County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17053
CHI,CHI,County/City,NO,Franklin County Jail - IL,Benton,Franklin,IL,Franklin County Sheriff's Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,None,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17055
CHI,RI,County/City,NO,Fulton County Jail - IL,Lewistown,Fulton,IL,Fulton County Sheriff's Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,None,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17057
CHI,CHI,County/City,NO,Greene County Jail - IL,CARROLTON,Greene,IL,Greene County Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17061
CHI,CHI,County/City,NO,Grundy County Jail - IL,Morris,Grundy,IL,Grundy County,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17063
CHI,RI,County/City,NO,Hancock County Jail - IL,Carthage,Hamilton County,IL,Hamilton County Sheriff's Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,None,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17065
CHI,CHI,County/City,NO,Hardin County Jail - IL,Elizabethtown,Hancock,IL,Hancock County Sheriff's Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,None,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17067
CHI,RI,County/City,NO,Henderson County Jail - IL,OQUAKWA,Hardin,IL,Hardin County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17069
CHI,RI,County/City,NO,Henry County Jail - IL,Cambridge,Henderson,IL,Henderson County Sheriff's Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,None,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17071
CHI,CHI,County/City,NO,Iroquois County Jail - IL,Watseka,Henry,IL,Henry County Sheriff's Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,None,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17073
CHI,CHI,County/City,NO,Jackson County Jail - IL,Murphysboro,Iroquois,IL,Iroquois County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17075
CHI,CHI,County/City,NO,Jasper County Jail - IL,Newton,Jasper,IL,Jasper County Sheriff,"2: Considering, but (currently) not willing to accept (I-247N) Notifications and/or (I-247D) Detainers",,,,1,1,1,1,0,0,0,4,IL Trust Act 2017,,,17079
CHI,CHI,County/City,NO,Jefferson County Jail - IL,Mt. Vernon,Jefferson,IL,Jefferson County Sheriff's Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,None,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17081
CHI,CHI,County/City,NO,Jersey County Jail - IL,Jerseyville,Jersey,IL,Jersey County Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17083
CHI,RI,County/City,NO,Jo Daviess County Jail - IL,Galena,Jo Daviess,IL,Jo Daviess Sheriff's Office,5: Willing to accept (I-247D) Detainers but not (I-247N) Notifications,None,Will hold if they know we are in route to pick up,,1,1,1,1,1,0,0,5,IL Trust Act 2017,,,17085
CHI,CHI,County/City,NO,Kane County Jail - IL,Geneva,Kane,IL,Kane County Sheriff,"2: Considering, but (currently) not willing to accept (I-247N) Notifications and/or (I-247D) Detainers",,,,1,1,1,1,0,0,0,4,IL Trust Act 2017,,,17089
CHI,CHI,County/City,NO,Kankakee County Jail - IL,Kankakee,Kankakee,IL,,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,0,1,0,0,0,0,2,IL Trust Act 2017,,,17091
CHI,CHI,County/City,NO,Kendall County Jail - IL,Yorkville,Kendall,IL,Kendall County,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17093
CHI,RI,County/City,NO,Knox County Jail - IL,Galesburg,Knox,IL,Knox County Sheriff's Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,None,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17095
CHI,CHI,County/City,NO,Lake County Jail-IL,Waukegan,Lake,IL,Lake County Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,Meeting on 07/16/2015 between FOD and Sheriff went well.  Sheriff willing to accept both I-247N and I-247D,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17097
CHI,CHI,County/City,NO,LaSalle County Jail - IL,Ottawa,LaSalle,IL,LaSalle County,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17099
CHI,CHI,County/City,NO,Lawrence County Jail - IL,Lawrenceville,Lawrence County,IL,Lawrence County Sheriff's Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,None,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17101
CHI,RI,County/City,NO,Lee County Jail - IL,Dixon,Lee,IL,Lee County Sheriff's Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,None,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17103
CHI,CHI,County/City,NO,Livingston County Jail - IL,Pontiac,Livingston,IL,Livingston County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17105
CHI,CHI,County/City,NO,Logan County Jail - IL,Lincoln,Logan,IL,Logan County Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17107
CHI,CHI,County/City,NO,Macon County Jail - IL,Decatur,Macon,IL,Macon County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17115
CHI,CHI,County/City,NO,Macoupin County Jail - IL,Carlinville,Macoupin,IL,Macoupin County Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17117
CHI,STL,County/City,NO,Madison County Jail - IL,Edwardsville,Madison,IL,Madison County Sheriff's Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,None,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17119
CHI,CHI,County/City,NO,Marion County Jail - IL,Salem,Marion,IL,,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17121
CHI,RI,County/City,NO,Marshall County Jail - IL,LACON,Marshall,IL,Marshall County Sheriff's Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,None,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17123
CHI,CHI,County/City,NO,Mason County Jail - IL,Havana,Mason County,IL,Mason County,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17125
CHI,CHI,County/City,NO,Massac County Jail - IL,Metropolis,Massac,IL,Massac County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17127
CHI,RI,County/City,NO,McDonough County Jail - IL,Macomb,McDonough,IL,McDonough County Sheriff's Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,None,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17109
CHI,CHI,County/City,NO,McHenry County Jail - IL,Woodstock,McHenry,IL,McHenry County Sheriff,"2: Considering, but (currently) not willing to accept (I-247N) Notifications and/or (I-247D) Detainers",,,,1,0,1,0,0,0,0,2,IL Trust Act 2017,,,17111
CHI,CHI,County/City,NO,McLean County Jail - IL,Bloomington,McLean,IL,McLean County Sheriff,"2: Considering, but (currently) not willing to accept (I-247N) Notifications and/or (I-247D) Detainers",,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17113
CHI,CHI,County/City,NO,Menard County Jail - IL,Petersburg,Menard,IL,Menard County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17129
CHI,RI,County/City,NO,Mercer County Jail - IL,ALEDO,Mercer,IL,Mercer County Sheriff's Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,None,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17131
CHI,CHI,County/City,NO,Monroe County Jail - IL,Waterloo,Monroe,IL,Monroe County Sheriff's Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,None,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17133
CHI,CHI,County/City,NO,Montgomery County Jail - IL,Hillsboro,Montgomery,IL,Montgomery County Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17135
CHI,CHI,County/City,NO,Morgan County Jail - IL,Jacksonville,Morgan,IL,Morgan County Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17137
CHI,CHI,County/City,NO,Moultrie County Jail - IL,Sullivan,Moultrie,IL,Moultrie County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,1,0,0,0,0,3,IL Trust Act 2017,,,17139
